X,Y
12.381,881.000
24.762,894.042
37.143,909.523
49.524,898.062
61.905,912.911
74.286,908.155
86.667,904.737
99.048,895.725
111.429,897.078
123.810,894.675
136.190,890.117
148.571,897.647
160.952,896.826
173.333,895.987
185.714,892.399
198.095,895.983
210.476,902.050
222.857,897.873
235.238,902.356
247.619,911.755
260.000,906.908
272.381,906.790
284.762,905.952
297.143,911.830
309.524,915.102
321.905,915.371
334.286,911.330
346.667,911.390
359.048,917.855
371.429,915.989
383.810,911.055
396.190,910.426
408.571,910.740
420.952,913.153
433.333,911.046
445.714,914.055
458.095,914.929
470.476,913.719
482.857,912.594
495.238,911.750
507.619,912.839
520.000,912.524
532.381,910.580
544.762,914.465
557.143,918.197
569.524,922.612
581.905,915.194
594.286,919.634
606.667,918.201
619.048,925.776
631.429,924.017
643.810,925.441
656.190,925.893
668.571,922.842
680.952,923.913
693.333,923.961
705.714,920.415
718.095,919.422
730.476,918.114
742.857,914.689
755.238,915.741
767.619,913.821
780.000,916.325
792.381,916.610
804.762,914.029
817.143,915.303
829.524,918.174
841.905,920.781
854.286,918.115
866.667,913.624
879.048,918.305
891.429,917.500
903.810,917.830
916.190,919.684
928.571,916.695
940.952,921.588
953.333,919.228
965.714,923.746
978.095,924.725
990.476,922.707
1002.857,926.743
1015.238,923.400
1027.619,925.052
1040.000,924.125
1052.381,924.310
1064.762,924.394
1077.143,923.694
1089.524,923.706
1101.905,919.527
1114.286,919.592
1126.667,914.115
1139.048,913.379
1151.429,911.801
1163.810,913.624
1176.191,911.869
1188.571,912.460
1200.952,912.825
1213.333,915.266
1225.714,915.341
1238.095,917.210
1250.476,920.069
1262.857,918.600
1275.238,918.583
1287.619,915.835
1300.000,912.276
1312.381,907.793
1324.762,911.574
1337.143,911.137
1349.524,910.173
1361.905,910.805
1374.286,909.083
1386.667,914.134
1399.048,916.289
1411.429,913.856
1423.810,911.530
1436.191,910.815
1448.571,906.681
1460.952,906.908
1473.333,906.545
1485.714,906.095
1498.095,907.272
1510.476,906.551
1522.857,905.204
1535.238,905.371
1547.619,907.119
1560.000,904.969
1572.381,904.670
1584.762,906.144
1597.143,906.196
1609.524,908.995
1621.905,905.539
1634.286,908.931
1646.667,907.973
1659.048,905.801
1671.429,907.009
1683.810,907.878
1696.191,908.295
1708.571,908.597
1720.952,909.940
1733.333,909.980
1745.714,906.927
1758.095,904.028
1770.476,900.756
1782.857,900.624
1795.238,896.734
1807.619,896.188
1820.000,892.588
1832.381,894.527
1844.762,892.399
1857.143,892.753
1869.524,895.484
1881.905,893.715
1894.286,895.742
1906.667,897.439
1919.048,894.606
1931.429,893.773
1943.810,894.072
1956.191,893.005
1968.571,893.218
1980.952,889.320
1993.333,889.880
2005.714,888.912
2018.095,888.997
2030.476,883.083
2042.857,884.337
2055.238,880.471
2067.619,881.138
2080.000,885.253
2092.381,882.777
2104.762,885.920
2117.143,883.741
2129.524,882.091
2141.905,883.181
2154.286,881.262
2166.667,880.499
2179.048,880.407
2191.429,879.601
2203.810,878.519
2216.190,880.198
2228.572,879.969
2240.952,880.571
2253.333,884.139
2265.714,880.674
2278.095,881.837
2290.476,879.662
2302.857,877.451
2315.238,877.405
2327.619,873.873
2340.000,876.945
2352.381,876.453
2364.762,876.708
2377.143,873.874
2389.524,872.143
2401.905,871.654
2414.286,872.092
2426.667,869.791
2439.048,871.028
2451.429,869.489
2463.810,868.390
2476.190,868.732
2488.572,867.190
2500.952,865.754
2513.333,865.385
2525.714,865.365
2538.095,865.249
2550.476,864.131
2562.857,864.433
2575.238,863.485
2587.619,862.778
2600.000,862.788
2612.381,862.336
2624.762,859.573
2637.143,860.391
2649.524,861.511
2661.905,862.413
2674.286,862.341
2686.667,862.204
2699.048,861.290
2711.429,861.373
2723.810,860.290
2736.190,859.495
2748.572,857.515
2760.952,855.805
2773.333,854.689
2785.714,853.752
2798.095,854.457
2810.476,852.251
2822.857,854.130
2835.238,852.922
2847.619,854.403
2860.000,854.239
2872.381,854.201
2884.762,852.409
2897.143,849.778
2909.524,849.799
2921.905,849.699
2934.286,848.427
2946.667,847.738
2959.048,847.061
2971.429,845.908
2983.810,843.555
2996.190,843.842
3008.572,841.509
3020.952,840.426
3033.333,838.344
3045.714,839.022
3058.095,838.622
3070.476,838.956
3082.857,839.400
3095.238,838.399
3107.619,837.241
3120.000,837.402
3132.381,834.259
3144.762,835.078
3157.143,834.370
3169.524,833.662
3181.905,834.069
3194.286,832.619
3206.667,832.873
3219.048,833.451
3231.429,830.689
3243.810,831.280
3256.190,830.590
3268.572,828.085
3280.952,828.241
3293.333,825.015
3305.714,824.621
3318.095,822.923
3330.476,822.371
3342.857,822.000
3355.238,821.266
3367.619,820.841
3380.000,819.923
3392.381,818.968
3404.762,818.681
3417.143,818.408
3429.524,817.239
3441.905,817.706
3454.286,816.347
3466.667,815.496
3479.048,815.671
3491.429,814.594
3503.810,812.365
3516.190,812.621
3528.572,811.905
3540.952,811.582
3553.333,811.524
3565.714,811.051
3578.095,811.484
3590.476,808.231
3602.857,806.943
3615.238,806.479
3627.619,806.643
3640.000,805.572
3652.381,806.969
3664.762,805.422
3677.143,805.133
3689.524,803.781
3701.905,804.618
3714.286,801.828
3726.667,799.791
3739.048,800.150
3751.429,799.446
3763.810,798.405
3776.190,798.695
3788.572,797.309
3800.952,797.245
3813.333,795.294
3825.714,795.917
3838.095,794.676
3850.476,793.132
3862.857,793.433
3875.238,792.474
3887.619,793.022
3900.000,791.769
3912.381,791.345
3924.762,790.667
3937.143,790.093
3949.524,789.930
3961.905,789.112
3974.286,789.103
3986.667,790.168
3999.048,788.888
4011.429,789.214
