primer,RT,strain,treats,rep,cq_val
LasR,NRT,pAL201.5,0.0,none,33.75
LasR,NRT,pAL201.5,0.1,none,30.43
LasR,NRT,pAL201.5,1.0,none,34.56
LasR,NRT,pAL201.5,10.0,none,26.45
LasR,NRT,pAL201.5,100.0,none,36.3
LasR,NRT,pAL201.5,1000.0,none,32.48
LasR,NRT,pAL201.5,10000.0,none,30.41
LasR,RT,pAL201.5,0.0,1,23.67
LasR,RT,pAL201.5,0.0,2,23.48
LasR,RT,pAL201.5,0.0,3,23.54
LasR,RT,pAL201.5,0.1,1,20.73
LasR,RT,pAL201.5,0.1,2,20.78
LasR,RT,pAL201.5,0.1,3,20.7
LasR,RT,pAL201.5,1.0,1,21.8
LasR,RT,pAL201.5,1.0,2,21.48
LasR,RT,pAL201.5,1.0,3,21.63
LasR,RT,pAL201.5,10.0,1,20.21
LasR,RT,pAL201.5,10.0,2,19.97
LasR,RT,pAL201.5,10.0,3,19.9
LasR,RT,pAL201.5,100.0,1,22.51
LasR,RT,pAL201.5,100.0,2,22.56
LasR,RT,pAL201.5,100.0,3,22.33
LasR,RT,pAL201.5,1000.0,1,21.73
LasR,RT,pAL201.5,1000.0,2,21.57
LasR,RT,pAL201.5,1000.0,3,21.54
LasR,RT,pAL201.5,10000.0,1,21.3
LasR,RT,pAL201.5,10000.0,2,21.24
LasR,RT,pAL201.5,10000.0,3,21.12
ihfB,NRT,pAL201.5,0.0,none,35.67
ihfB,NRT,pAL201.5,0.1,none,34.17
ihfB,NRT,pAL201.5,1.0,none,33.67
ihfB,NRT,pAL201.5,10.0,none,33.56
ihfB,NRT,pAL201.5,100.0,none,33.73
ihfB,NRT,pAL201.5,1000.0,none,35.38
ihfB,NRT,pAL201.5,10000.0,none,33.71
ihfB,RT,pAL201.5,0.0,1,26.06
ihfB,RT,pAL201.5,0.0,2,26.02
ihfB,RT,pAL201.5,0.0,3,26.08
ihfB,RT,pAL201.5,0.1,1,23.2
ihfB,RT,pAL201.5,0.1,2,23.23
ihfB,RT,pAL201.5,0.1,3,23.21
ihfB,RT,pAL201.5,1.0,1,24.28
ihfB,RT,pAL201.5,1.0,2,24.34
ihfB,RT,pAL201.5,1.0,3,24.32
ihfB,RT,pAL201.5,10.0,1,22.69
ihfB,RT,pAL201.5,10.0,2,22.7
ihfB,RT,pAL201.5,10.0,3,22.8
ihfB,RT,pAL201.5,100.0,1,24.91
ihfB,RT,pAL201.5,100.0,2,25.01
ihfB,RT,pAL201.5,100.0,3,25.02
ihfB,RT,pAL201.5,1000.0,1,23.62
ihfB,RT,pAL201.5,1000.0,2,23.61
ihfB,RT,pAL201.5,1000.0,3,23.5
ihfB,RT,pAL201.5,10000.0,1,23.12
ihfB,RT,pAL201.5,10000.0,2,23.19
ihfB,RT,pAL201.5,10000.0,3,23.23
mCherry,NRT,pAL201.5,0.0,none,33.52
mCherry,NRT,pAL201.5,0.1,none,32.57
mCherry,NRT,pAL201.5,1.0,none,33.41
mCherry,NRT,pAL201.5,10.0,none,28.67
mCherry,NRT,pAL201.5,100.0,none,33.18
mCherry,NRT,pAL201.5,1000.0,none,32.71
mCherry,NRT,pAL201.5,10000.0,none,32.15
mCherry,RT,pAL201.5,0.0,1,26.81
mCherry,RT,pAL201.5,0.0,2,26.62
mCherry,RT,pAL201.5,0.0,3,26.14
mCherry,RT,pAL201.5,0.1,1,23.37
mCherry,RT,pAL201.5,0.1,2,23.33
mCherry,RT,pAL201.5,0.1,3,23.51
mCherry,RT,pAL201.5,1.0,1,23.48
mCherry,RT,pAL201.5,1.0,2,23.5
mCherry,RT,pAL201.5,1.0,3,23.44
mCherry,RT,pAL201.5,10.0,1,18.37
mCherry,RT,pAL201.5,10.0,2,18.31
mCherry,RT,pAL201.5,10.0,3,18.19
mCherry,RT,pAL201.5,100.0,1,19.51
mCherry,RT,pAL201.5,100.0,2,19.5
mCherry,RT,pAL201.5,100.0,3,19.45
mCherry,RT,pAL201.5,1000.0,1,18.56
mCherry,RT,pAL201.5,1000.0,2,18.38
mCherry,RT,pAL201.5,1000.0,3,18.29
mCherry,RT,pAL201.5,10000.0,1,18.28
mCherry,RT,pAL201.5,10000.0,2,18.09
mCherry,RT,pAL201.5,10000.0,3,18.15
