treats,rep,dCq
0.0,1,2.389999999999997
0.0,2,2.539999999999999
0.0,3,2.539999999999999
0.1,1,2.469999999999999
0.1,2,2.4499999999999993
0.1,3,2.5100000000000016
1.0,1,2.4800000000000004
1.0,2,2.8599999999999994
1.0,3,2.6900000000000013
10.0,1,2.4800000000000004
10.0,2,2.7300000000000004
10.0,3,2.900000000000002
100.0,1,2.3999999999999986
100.0,2,2.450000000000003
100.0,3,2.6900000000000013
1000.0,1,1.8900000000000006
1000.0,2,2.039999999999999
1000.0,3,1.9600000000000009
10000.0,1,1.8200000000000003
10000.0,2,1.9500000000000028
10000.0,3,2.1099999999999994
