treats,rep,ddCq,foldCng,foldCng_log2,xPos
0.0,1,0.0,1.0,0.0,1
0.0,2,0.0,1.0,0.0,1
0.0,3,0.0,1.0,0.0,1
0.1,1,0.0,1.0,0.0,3
0.1,2,0.0,1.0,0.0,3
0.1,3,0.0,1.0,0.0,3
1.0,1,0.0,1.0,0.0,5
1.0,2,0.0,1.0,0.0,5
1.0,3,0.0,1.0,0.0,5
10.0,1,0.0,1.0,0.0,7
10.0,2,0.0,1.0,0.0,7
10.0,3,0.0,1.0,0.0,7
100.0,1,0.0,1.0,0.0,9
100.0,2,0.0,1.0,0.0,9
100.0,3,0.0,1.0,0.0,9
1000.0,1,0.0,1.0,0.0,11
1000.0,2,0.0,1.0,0.0,11
1000.0,3,0.0,1.0,0.0,11
10000.0,1,0.0,1.0,0.0,13
10000.0,2,0.0,1.0,0.0,13
10000.0,3,0.0,1.0,0.0,13
