treats,rep,dCq
0.0,1,-0.75
0.0,2,-0.6000000000000014
0.0,3,-0.060000000000002274
0.1,1,-0.1700000000000017
0.1,2,-0.09999999999999787
0.1,3,-0.3000000000000007
1.0,1,0.8000000000000007
1.0,2,0.8399999999999999
1.0,3,0.879999999999999
10.0,1,4.32
10.0,2,4.390000000000001
10.0,3,4.609999999999999
100.0,1,5.399999999999999
100.0,2,5.510000000000002
100.0,3,5.57
1000.0,1,5.060000000000002
1000.0,2,5.23
1000.0,3,5.210000000000001
10000.0,1,4.84
10000.0,2,5.100000000000001
10000.0,3,5.080000000000002
