 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
1,CH2_XY17:0105-0316-0433:stiched_Image_T0000_CH2_XY17,89.608,27.250,0.543,0.951,0,11.187,9.225,2441.818,10712521.000,1,0.000
2,CH2_XY17:0105-0316-0433:stiched_Image_T0001_CH2_XY17,89.608,27.202,0.538,0.951,0,11.187,9.225,2437.542,10693763.000,2,0.015
3,CH2_XY17:0105-0316-0433:stiched_Image_T0002_CH2_XY17,89.608,27.570,0.577,0.951,0,11.187,9.225,2470.531,10838488.000,3,0.030
4,CH2_XY17:0105-0316-0433:stiched_Image_T0003_CH2_XY17,89.608,27.494,0.642,0.951,0,11.187,9.225,2463.709,10808558.000,4,0.045
5,CH2_XY17:0105-0316-0433:stiched_Image_T0004_CH2_XY17,89.608,27.831,0.741,0.951,0,11.187,9.225,2493.876,10940907.000,5,0.060
6,CH2_XY17:0105-0316-0433:stiched_Image_T0005_CH2_XY17,89.608,28.335,0.863,0.951,0,11.187,9.225,2539.061,11139138.000,6,0.075
7,CH2_XY17:0105-0316-0433:stiched_Image_T0006_CH2_XY17,89.608,28.778,1.009,0.951,0,11.187,9.225,2578.706,11313063.000,7,0.091
8,CH2_XY17:0105-0316-0433:stiched_Image_T0007_CH2_XY17,89.608,28.798,1.164,0.951,0,11.187,9.225,2580.504,11320951.000,8,0.106
9,CH2_XY17:0105-0316-0433:stiched_Image_T0008_CH2_XY17,89.608,29.539,1.382,0.951,0,11.187,9.225,2646.938,11612403.000,9,0.121
10,CH2_XY17:0105-0316-0433:stiched_Image_T0009_CH2_XY17,89.608,28.172,1.520,0.951,0,11.187,9.225,2524.477,11075156.000,10,0.136
11,CH2_XY17:0105-0316-0433:stiched_Image_T0010_CH2_XY17,89.608,29.213,1.758,0.951,0,11.187,9.225,2617.723,11484237.000,11,0.151
12,CH2_XY17:0105-0316-0433:stiched_Image_T0011_CH2_XY17,89.608,29.898,2.086,0.951,0,11.187,9.225,2679.089,11753457.000,12,0.166
13,CH2_XY17:0105-0316-0433:stiched_Image_T0012_CH2_XY17,89.608,30.614,2.433,0.951,0,11.187,9.225,2743.286,12035093.000,13,0.181
14,CH2_XY17:0105-0316-0433:stiched_Image_T0013_CH2_XY17,89.608,31.639,2.784,0.951,0,11.187,9.225,2835.151,12438118.000,14,0.196
15,CH2_XY17:0105-0316-0433:stiched_Image_T0014_CH2_XY17,89.608,32.770,3.169,0.951,0,11.187,9.225,2936.497,12882733.000,15,0.211
16,CH2_XY17:0105-0316-0433:stiched_Image_T0015_CH2_XY17,89.608,34.116,3.580,0.951,0,11.187,9.225,3057.063,13411669.000,16,0.226
17,CH2_XY17:0105-0316-0433:stiched_Image_T0016_CH2_XY17,89.608,35.188,4.058,0.951,0,11.187,9.225,3153.095,13832972.000,17,0.242
18,CH2_XY17:0105-0316-0433:stiched_Image_T0017_CH2_XY17,89.608,36.463,4.367,0.951,0,11.187,9.225,3267.423,14334542.000,18,0.257
19,CH2_XY17:0105-0316-0433:stiched_Image_T0018_CH2_XY17,89.608,38.018,4.766,0.951,0,11.187,9.225,3406.765,14945849.000,19,0.272
20,CH2_XY17:0105-0316-0433:stiched_Image_T0019_CH2_XY17,89.608,39.984,5.089,0.951,0,11.187,9.225,3582.861,15718401.000,20,0.287
21,CH2_XY17:0105-0316-0433:stiched_Image_T0020_CH2_XY17,89.608,41.298,5.302,0.951,0,11.187,9.225,3700.651,16235161.000,21,0.302
22,CH2_XY17:0105-0316-0433:stiched_Image_T0021_CH2_XY17,89.608,43.058,5.520,0.951,0,11.187,9.225,3858.325,16926893.000,22,0.317
23,CH2_XY17:0105-0316-0433:stiched_Image_T0022_CH2_XY17,89.608,44.395,5.643,0.951,0,11.187,9.225,3978.132,17452499.000,23,0.332
24,CH2_XY17:0105-0316-0433:stiched_Image_T0023_CH2_XY17,89.608,46.152,5.734,0.951,0,11.187,9.225,4135.557,18143137.000,24,0.347
25,CH2_XY17:0105-0316-0433:stiched_Image_T0024_CH2_XY17,89.608,47.625,5.716,0.951,0,11.187,9.225,4267.577,18722324.000,25,0.362
