Radius_[mm],Normalized_Integrated_Intensity,slice_2,slice_3,slice_4,slice_5,slice_6,slice_7,slice_8,slice_9,slice_10,slice_11,slice_12,slice_13,slice_14,slice_15,slice_16,slice_17,slice_18,slice_19,slice_20,slice_21,slice_22,slice_23,slice_24,slice_25,slice_26,slice_27,slice_28,slice_29,slice_30,slice_31,slice_32,slice_33,slice_34,slice_35,slice_36,slice_37,slice_38,slice_39,slice_40,slice_41,slice_42,slice_43,slice_44,slice_45,slice_46,slice_47,slice_48,slice_49,slice_50,slice_51,slice_52,slice_53,slice_54,slice_55,slice_56,slice_57,slice_58,slice_59,slice_60,slice_61,slice_62,slice_63,slice_64,slice_65,slice_66,slice_67,slice_68,slice_69,slice_70,slice_71,slice_72,slice_73,slice_74,slice_75,slice_76,slice_77,slice_78,slice_79,slice_80,slice_81,slice_82,slice_83,slice_84,slice_85,slice_86,slice_87,slice_88,slice_89,slice_90,slice_91,slice_92,slice_93,slice_94,slice_95,slice_96,slice_97,slice_98,slice_99,slice_100,slice_101,slice_102,slice_103,slice_104,slice_105
0.01512,25.50000,27.08333,30.3333,34.2500,39.2500,45.8333,53.0000,59.2500,66.4167,68.0000,74.4167,81.6667,88.0000,95.7500,104.6667,118.4167,129.667,146.667,161.250,174.833,187.167,188.167,192.917,187.500,182.083,173.917,161.333,147.167,135.333,126.750,116.667,107.000,100.167,93.083,88.083,85.250,84.167,80.750,79.500,77.500,76.667,75.833,73.000,69.250,69.083,68.083,68.750,66.5000,66.5000,66.0000,64.2500,63.7500,63.3333,62.5000,62.5833,62.5833,60.9167,62.0000,62.3333,61.5000,62.3333,62.5833,62.0000,62.3333,60.8333,61.0000,59.9167,62.3333,60.6667,61.9167,60.5000,60.8333,61.0833,61.4167,61.2500,61.5000,61.8333,60.7500,60.1667,57.8333,58.8333,60.1667,59.7500,59.0833,60.0000,60.8333,56.4167,60.2500,60.9167,59.5000,59.5000,57.8333,56.6667,57.3333,58.0833,57.5833,56.9167,58.5000,56.5000,57.9167,58.1667,55.4167,57.7500,57.9167,55.1667
0.03024,25.35000,27.00000,30.2500,33.8500,39.1000,45.5000,52.8500,59.0500,66.3000,67.7500,74.5500,81.6500,87.8000,95.5500,104.8000,118.3000,130.350,147.100,160.750,175.800,187.550,188.800,193.150,187.800,182.400,173.700,161.550,147.650,135.600,127.050,117.350,107.650,100.350,92.700,88.000,85.150,84.050,81.150,79.500,77.650,76.450,75.750,72.750,69.550,69.250,68.150,68.600,66.1500,66.7000,65.6000,63.8500,63.5500,63.6000,62.6000,62.8500,62.5000,61.1000,61.5500,62.1000,61.3500,62.3500,62.2500,61.7500,62.1500,60.8500,60.9500,60.2500,61.9000,60.4000,61.6500,60.5500,60.6000,61.1000,61.0000,61.4000,61.1500,61.7000,60.5500,60.4500,58.1500,58.6500,60.2500,59.8500,59.4000,60.0500,60.7500,56.5500,59.8500,60.7000,59.5000,59.7500,57.8000,56.8000,57.3500,58.5000,57.3500,56.6500,58.1000,56.2500,57.5000,58.4000,55.7500,57.2500,57.4000,54.8000
0.04535,25.30000,27.10000,30.4000,34.0000,39.1000,45.6000,53.3500,59.4500,66.7500,68.3000,75.3000,82.0000,89.1500,96.3000,105.8000,119.2000,131.800,147.800,161.500,177.500,188.200,189.550,193.500,189.300,182.850,174.000,162.450,148.550,136.350,127.250,118.200,108.450,100.600,93.200,88.300,85.500,84.150,81.350,79.200,77.950,76.850,76.050,73.050,69.900,69.450,68.450,68.650,66.2500,67.0000,65.5000,63.9500,63.7500,63.9000,62.5000,63.0000,62.8500,61.3000,61.7500,62.0500,61.1500,62.6000,62.2500,61.7500,62.1500,61.0000,60.7000,60.2000,62.1000,60.4500,61.5500,60.4000,60.7000,61.0500,61.1500,61.5000,61.0500,61.4500,60.3000,60.2000,58.3500,58.7000,60.3500,59.6000,59.0000,60.2500,60.5500,56.7500,59.6000,60.7000,59.5500,59.9500,58.0000,56.8000,57.5000,58.5500,57.0500,56.4000,57.6000,56.2000,57.2500,58.4000,56.0000,57.1000,57.0500,54.8500
0.06047,25.46428,26.96428,30.3214,33.8929,39.1071,46.0000,53.8214,59.8214,67.1429,68.5714,75.7857,82.6071,89.8571,96.9286,106.3929,119.6071,132.571,148.464,162.107,178.250,188.893,190.607,193.964,189.500,183.321,174.536,162.607,148.964,136.750,127.321,118.321,108.964,100.893,93.643,88.429,85.571,83.929,81.857,79.107,78.250,77.036,75.964,73.179,69.857,69.571,68.643,68.643,66.3571,66.9286,65.6071,63.9286,63.9643,64.1429,62.8214,63.1429,62.6786,61.2143,61.7857,62.3214,61.2857,62.5000,62.5714,61.9643,62.3571,60.8571,60.8571,60.4286,61.9286,60.4286,61.5714,60.5714,60.5714,61.2500,61.1429,61.5357,61.1786,61.6429,60.4643,60.2500,58.3571,58.7143,60.2500,59.8929,59.3929,60.4643,60.6786,56.9643,59.5000,60.5357,59.8214,59.7857,57.7500,56.7143,57.3929,58.5000,57.1071,56.3929,57.6786,56.1786,57.2143,58.2857,56.0000,57.1071,56.9643,54.8571
0.07559,25.50000,27.15625,30.3438,34.0312,39.2188,46.0938,53.5312,59.7812,67.0938,68.8125,75.5938,82.6250,89.8438,96.5625,106.5625,119.5000,132.750,148.281,162.000,178.531,188.469,190.281,193.844,189.531,183.031,174.031,162.500,149.125,136.562,127.219,118.531,109.125,100.906,93.562,88.031,85.281,83.875,81.750,79.250,78.219,76.875,75.688,73.188,69.969,69.531,68.469,68.531,66.5000,67.0312,65.3750,63.8125,63.9688,63.6875,62.8750,62.8750,62.3750,61.4062,61.6250,62.1875,61.0625,62.3125,62.5938,61.8750,62.0938,60.8750,60.7188,60.3438,61.8438,60.3125,61.5625,60.6250,60.6875,61.0938,61.0312,61.5312,61.1250,61.5625,60.2812,60.3125,58.3750,58.6250,60.0312,59.7188,59.1562,60.4688,60.6875,56.6250,59.3438,60.4688,59.6875,59.8438,57.7188,56.7812,57.5312,58.4062,56.8125,56.2188,57.3750,55.9375,57.0938,58.1875,56.1562,57.0000,56.9062,54.9062
0.09071,25.18182,27.00000,30.2500,33.8409,38.9091,45.6364,53.0455,59.1591,66.6136,68.2727,75.0909,81.8636,89.1136,96.1591,106.0909,118.9545,131.727,147.295,161.045,177.909,187.568,189.182,192.841,189.091,182.114,173.205,162.136,148.773,136.273,126.705,117.864,108.614,100.477,93.364,87.636,85.114,83.227,81.523,78.864,78.023,76.818,75.455,72.909,69.932,69.500,68.432,68.432,66.3636,67.0682,65.2273,63.6818,63.7045,63.5909,62.8636,62.8636,62.3409,61.2045,61.5682,62.0227,61.2045,62.3409,62.4318,61.7273,62.1818,61.0455,60.6591,60.3864,61.7045,60.3409,61.5455,60.3636,60.7500,61.1591,61.0909,61.4091,61.1364,61.3636,60.1364,60.2727,58.5000,58.4773,60.0682,59.5909,59.1364,60.2045,60.5909,56.7273,59.2045,60.4318,59.6364,59.8864,57.4545,56.6591,57.4091,58.2273,56.7727,56.1818,57.3636,56.0000,57.1818,58.1136,55.9545,57.0227,56.6818,54.7727
0.10583,25.11539,27.00000,30.1154,33.7500,38.5385,45.0769,52.6538,58.7692,65.9231,67.3846,74.0577,80.6346,87.7885,94.9231,104.6923,117.4615,130.365,145.731,159.481,176.135,185.750,187.673,191.231,187.923,180.596,171.904,160.904,148.058,135.654,125.750,117.250,107.885,100.192,92.635,87.365,84.808,83.115,80.962,78.558,77.635,76.308,75.000,72.731,69.788,69.192,68.192,68.404,66.5962,66.7692,65.0962,63.6154,63.5962,63.6346,62.5385,62.5385,62.1538,61.1346,61.4808,61.7308,60.9615,62.0769,62.1346,61.5192,62.0192,60.8077,60.5385,60.1346,61.4615,60.3269,61.3077,60.2308,60.4615,60.9038,60.8269,61.4423,60.9423,61.5385,60.0000,60.1923,58.3077,58.5769,59.9615,59.4615,58.9615,60.2308,60.4038,56.6154,59.2115,60.0962,59.5385,59.7308,57.4231,56.4808,57.3462,58.1346,56.5000,56.0769,57.3462,55.8654,57.1538,57.9808,55.7692,57.0000,56.7885,54.6154
0.12095,25.06250,26.87500,30.1458,33.6875,38.7292,45.1250,52.6458,58.7292,66.0000,67.5833,74.2708,80.9167,87.8125,94.9792,104.6250,117.5417,130.167,146.021,159.521,175.854,185.667,187.854,191.333,188.000,180.625,171.792,160.917,148.542,135.583,126.104,117.125,108.021,100.104,92.875,87.625,84.875,83.000,81.062,78.667,77.438,76.500,75.208,72.625,69.812,69.229,68.188,68.354,66.4792,66.8125,65.2083,63.6250,63.6042,63.4792,62.6250,62.7500,62.4375,61.0833,61.6042,61.8542,61.1042,62.2500,62.0833,61.6458,62.1667,60.9375,60.5208,60.1042,61.5625,60.3542,61.5417,60.3333,60.5417,60.9792,61.0000,61.3333,61.0833,61.4583,60.2292,60.1250,57.9792,58.5000,59.9375,59.5833,58.9792,60.2500,60.4583,56.5625,59.1875,60.2708,59.5417,59.6875,57.4792,56.2917,57.2708,58.3542,56.6042,56.1250,57.3333,55.8958,57.1875,57.7292,56.0000,56.8750,56.7708,54.8958
0.13606,25.00000,27.00000,30.2000,33.7000,38.7833,45.4500,52.8167,59.0833,66.2333,67.7167,74.3500,81.1167,88.0833,95.4000,105.0667,118.1000,130.700,146.600,159.950,176.567,186.150,188.500,191.617,188.500,180.933,172.150,161.300,148.417,135.983,126.233,117.250,108.217,100.067,93.117,87.650,84.983,83.333,81.350,78.850,77.650,76.600,75.433,72.750,69.700,69.267,68.033,68.367,66.4667,66.8000,65.2333,63.7000,63.7667,63.5667,62.7000,62.7833,62.3500,61.0833,61.5667,61.9500,61.1667,62.3167,62.2500,61.5667,62.1833,60.9667,60.6500,60.0333,61.7833,60.3500,61.4333,60.4167,60.6333,61.1500,61.0333,61.4000,61.0667,61.6333,60.1833,60.2667,57.9833,58.4333,60.0833,59.6000,59.0000,60.3000,60.6333,56.6000,59.2333,60.1833,59.5167,59.7167,57.5000,56.6667,57.3667,58.2333,56.7500,56.1167,57.4667,55.9167,57.0667,57.8000,56.0333,56.9833,56.7833,55.0167
0.15118,25.08824,27.11765,30.3088,33.9118,39.0147,45.6324,53.1765,59.3676,66.6618,68.1176,74.9412,81.8382,88.8088,96.1618,105.6912,118.9412,131.559,147.794,161.324,177.721,187.456,189.397,192.868,189.250,181.941,173.118,162.000,149.132,136.529,126.647,117.971,108.588,100.515,93.574,88.000,85.294,83.662,81.706,79.015,77.882,76.735,75.632,72.897,69.676,69.206,68.118,68.485,66.4706,66.6765,65.5000,63.6765,63.8676,63.6029,62.7647,62.8088,62.5147,61.3529,61.7794,62.0147,61.3529,62.2794,62.3235,61.7353,62.2794,61.0147,60.6618,60.1765,61.9118,60.5441,61.6765,60.4706,60.7647,61.0294,60.9118,61.3529,61.2206,61.6324,60.3529,60.2206,58.0735,58.6029,60.1765,59.7059,59.0147,60.3824,60.6471,56.8088,59.3382,60.2500,59.3971,59.5882,57.7059,56.6912,57.3824,58.2353,56.9706,56.3235,57.6029,56.0000,57.3235,57.8382,56.0000,57.0000,56.8382,54.9265
